"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","September","Washington County","2"
"Total","September","Weld County","558"
"Total","September","Yuma County","10"
"Total","September","Broomfield County","94"
"Total","September","Colorado Bureau of Investigation",""
"Total","September","Colorado State Patrol","2,699"
"Total","October","Total","12,470"
"Total","October","Adams County","1,846"
"Total","October","Alamosa County","29"
"Total","October","Arapahoe County","437"
"Total","October","Archuleta County","13"
"Total","October","Baca County","1"
"Total","October","Bent County","3"
"Total","October","Boulder County","371"
"Total","October","Chaffee County","57"
"Total","October","Cheyenne County","4"
"Total","October","Clear Creek County","26"
"Total","October","Conejos County",""
"Total","October","Costilla County","1"
"Total","October","Crowley County","7"
"Total","October","Custer County","11"
"Total","October","Delta County","36"
"Total","October","Denver County","950"
"Total","October","Dolores County","2"
"Total","October","Douglas County","352"
"Total","October","Eagle County","154"
"Total","October","Elbert County","21"
"Total","October","El Paso County","1,174"
"Total","October","Fremont County","64"
"Total","October","Garfield County","210"
"Total","October","Gilpin County","53"
"Total","October","Grand County","39"
"Total","October","Gunnison County","83"
"Total","October","Hinsdale County",""
"Total","October","Huerfano County","5"
"Total","October","Jackson County","5"
"Total","October","Jefferson County","893"
"Total","October","Kiowa County","3"
"Total","October","Kit Carson County","18"
"Total","October","Lake County","16"
"Total","October","La Plata County","138"
"Total","October","Larimer County","891"
"Total","October","Las Animas County","18"
"Total","October","Lincoln County","12"
"Total","October","Logan County","49"
"Total","October","Mesa County","284"
"Total","October","Mineral County",""
"Total","October","Moffat County","42"
"Total","October","Montezuma County","73"
"Total","October","Montrose County","75"
"Total","October","Morgan County","16"
"Total","October","Otero County","12"
"Total","October","Ouray County","3"
"Total","October","Park County","31"
"Total","October","Phillips County","10"
"Total","October","Pitkin County","46"
"Total","October","Prowers County","23"
"Total","October","Pueblo County","158"
"Total","October","Rio Blanco County","20"
"Total","October","Rio Grande County","20"
"Total","October","Routt County","52"
"Total","October","Saguache County","3"
"Total","October","San Juan County","3"
"Total","October","San Miguel County","26"
"Total","October","Sedgwick County",""
"Total","October","Summit County","122"
"Total","October","Teller County","91"
"Total","October","Washington County","2"
"Total","October","Weld County","542"
"Total","October","Yuma County","6"
"Total","October","Broomfield County","100"
"Total","October","Colorado Bureau of Investigation",""
"Total","October","Colorado State Patrol","2,718"
"Total","November","Total","11,663"
"Total","November","Adams County","1,712"
"Total","November","Alamosa County","19"
"Total","November","Arapahoe County","414"
"Total","November","Archuleta County","16"
"Total","November","Baca County","3"
"Total","November","Bent County","3"
"Total","November","Boulder County","415"
"Total","November","Chaffee County","56"
"Total","November","Cheyenne County","5"
"Total","November","Clear Creek County","37"
"Total","November","Conejos County",""
"Total","November","Costilla County",""
"Total","November","Crowley County","8"
"Total","November","Custer County","9"
"Total","November","Delta County","26"
"Total","November","Denver County","960"
"Total","November","Dolores County","1"
"Total","November","Douglas County","319"
"Total","November","Eagle County","159"
"Total","November","Elbert County","23"
"Total","November","El Paso County","1,160"
"Total","November","Fremont County","61"
"Total","November","Garfield County","185"
"Total","November","Gilpin County","58"
"Total","November","Grand County","21"
"Total","November","Gunnison County","64"
"Total","November","Hinsdale County",""
"Total","November","Huerfano County","8"
"Total","November","Jackson County","1"
"Total","November","Jefferson County","755"
"Total","November","Kiowa County","4"
"Total","November","Kit Carson County","10"
"Total","November","Lake County","14"
"Total","November","La Plata County","126"
"Total","November","Larimer County","790"
"Total","November","Las Animas County","15"
"Total","November","Lincoln County","10"
"Total","November","Logan County","47"
"Total","November","Mesa County","301"
"Total","November","Mineral County",""
"Total","November","Moffat County","28"
"Total","November","Montezuma County","78"
"Total","November","Montrose County","74"
"Total","November","Morgan County","28"
"Total","November","Otero County","12"
"Total","November","Ouray County","4"
"Total","November","Park County","18"
"Total","November","Phillips County","5"
"Total","November","Pitkin County","44"
"Total","November","Prowers County","26"
"Total","November","Pueblo County","120"
"Total","November","Rio Blanco County","18"
"Total","November","Rio Grande County","18"
"Total","November","Routt County","44"
"Total","November","Saguache County","8"
"Total","November","San Juan County","3"
"Total","November","San Miguel County","15"
"Total","November","Sedgwick County",""
"Total","November","Summit County","150"
"Total","November","Teller County","91"
"Total","November","Washington County","4"
"Total","November","Weld County","521"
"Total","November","Yuma County","8"
"Total","November","Broomfield County","82"
"Total","November","Colorado Bureau of Investigation",""
"Total","November","Colorado State Patrol","2,449"
"Total","December","Total","11,640"
"Total","December","Adams County","1,655"
"Total","December","Alamosa County","26"
"Total","December","Arapahoe County","433"
"Total","December","Archuleta County","19"
"Total","December","Baca County","4"
"Total","December","Bent County","3"
"Total","December","Boulder County","413"
"Total","December","Chaffee County","50"
"Total","December","Cheyenne County","5"
"Total","December","Clear Creek County","34"
"Total","December","Conejos County",""
"Total","December","Costilla County",""
"Total","December","Crowley County","6"
"Total","December","Custer County","20"
"Total","December","Delta County","24"
"Total","December","Denver County","996"
